ciudad,genero,tipo,respuesta,n,denom_total,pct_sobre_genero
Cali,Hombre,"Comentarios incómodos / discriminación (aspecto, piel, habla, identidad, etc.)",Sí,15,212,7.0754716981132075
Cali,Hombre,"Comentarios incómodos / discriminación (aspecto, piel, habla, identidad, etc.)",No,195,212,91.98113207547169
Cali,Hombre,"Comentarios incómodos / discriminación (aspecto, piel, habla, identidad, etc.)",NA,2,212,0.9433962264150944
Cali,Hombre,Miradas morbosas al cuerpo,Sí,15,212,7.0754716981132075
Cali,Hombre,Miradas morbosas al cuerpo,No,195,212,91.98113207547169
Cali,Hombre,Miradas morbosas al cuerpo,NA,2,212,0.9433962264150944
Cali,Hombre,Piropos obscenos u ofensivos (sexual),Sí,11,212,5.188679245283019
Cali,Hombre,Piropos obscenos u ofensivos (sexual),No,199,212,93.86792452830188
Cali,Hombre,Piropos obscenos u ofensivos (sexual),NA,2,212,0.9433962264150944
Cali,Hombre,Se le recargaron sin consentimiento (incomodidad),Sí,30,212,14.150943396226415
Cali,Hombre,Se le recargaron sin consentimiento (incomodidad),No,180,212,84.90566037735849
Cali,Hombre,Se le recargaron sin consentimiento (incomodidad),NA,2,212,0.9433962264150944
Cali,Hombre,Le hicieron sentir miedo,Sí,26,212,12.264150943396226
Cali,Hombre,Le hicieron sentir miedo,No,183,212,86.32075471698113
Cali,Hombre,Le hicieron sentir miedo,NA,3,212,1.4150943396226414
Cali,Hombre,Tocamientos / manoseo sin consentimiento,Sí,5,212,2.358490566037736
Cali,Hombre,Tocamientos / manoseo sin consentimiento,No,205,212,96.69811320754717
Cali,Hombre,Tocamientos / manoseo sin consentimiento,NA,2,212,0.9433962264150944
Cali,Hombre,Robo / atraco,Sí,35,212,16.50943396226415
Cali,Hombre,Robo / atraco,No,173,212,81.60377358490567
Cali,Hombre,Robo / atraco,NA,4,212,1.8867924528301887
Cali,Hombre,Otro (99),Sí,3,212,1.4150943396226414
Cali,Hombre,Otro (99),No,199,212,93.86792452830188
