ciudad,genero_2,n,promedio,mediana,p25,p75,p90
Cali,Hombre,212,48.08018867924528,30,18.75,60,107.9
Cali,Mujer,221,58.23076923076923,40,20,80,120
Medellín,Hombre,188,45.287234042553195,44,25,60,80
Medellín,Mujer,210,46.404761904761905,40.5,30,60,75.1
