
Resultados del Modelo Logit Multinomial – Medellín (sin comunas)
================================================================================================================================================
                                                                                            Dependent variable:                                 
                                                            ------------------------------------------------------------------------------------
                                                                Auto privado         Modo activo       Taxi / Plataforma    Transporte público  
                                                                    (1)                  (2)                  (3)                   (4)         
------------------------------------------------------------------------------------------------------------------------------------------------
`p23_agregado_Cuidado y familia (escuela, niñas/os)`         -63.213*** (0.000)   -89.199*** (0.000)  -212.668*** (0.000)  -124.849*** (0.00000)
`p23_agregado_Cuidado y familia (recreación, niñas/os)`            -4.622               3.857           2.344*** (0.000)     -9.789*** (0.000)  
`p23_agregado_Cuidado y familia (salud, niñas/os)`           -6.007*** (0.004)    13.036*** (0.000)     6.957*** (0.700)     4.001*** (0.699)   
`p23_agregado_Cuidado y familia (persona enferma)`                 -1.955         -20.155*** (0.000)   -23.160*** (0.000)    32.023*** (0.000)  
p23_agregado_Otro                                            37.069*** (1.252)    91.084*** (1.338)     8.913*** (0.255)    -133.698*** (0.000) 
`p23_agregado_Cuidado y familia (persona con discapacidad)`        -2.875         -64.865*** (0.000)   134.722*** (0.000)   -52.128*** (0.000)  
p38p38_dummy_1                                               13.574*** (1.384)    35.057*** (8.737)    -28.898*** (5.528)   -23.855*** (3.527)  
`p39_lugar_agregado_mod_En otro lugar`                       58.288*** (1.252)    141.705*** (5.970)   120.532*** (6.683)    76.613*** (6.036)  
`p39_lugar_agregado_mod_En su modo de transporte`            -83.826*** (0.046)   120.078*** (7.485)   93.852*** (11.111)    60.954*** (8.456)  
Constant                                                    -101.989*** (0.319)   -78.297*** (8.004)  -230.733*** (10.257)  -84.455*** (12.193) 
------------------------------------------------------------------------------------------------------------------------------------------------
Akaike Inf. Crit.                                                 539.522              539.522              539.522               539.522       
================================================================================================================================================
Note:                                                                                                                *p<0.1; **p<0.05; ***p<0.01

Resultados del Modelo Logit Multinomial – Medellín (sin comunas)
=
 
-
